Oscilloscope Data File
Experiment Time :   13-12-2016 08:53:42
Number of frames: 46666

Module: E-14-140M (1D905555)

Number Of Channels : 8
Input Rate In kHz: 22.222221
Input Time In Sec: 2.099970
Decimation: 100
Number of frames after Decimation: 466
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  5      Ch  6      Ch  7      Ch  8  
                 ÑÂÄ,       ÐÊ 1,      ÐÊ 2,      ÐÊ 3,      ÐÊ 4,     
        0.590 ,        66,        69,        99,        78,        54
        0.594 ,        66,        68,        99,        78,        54
        0.599 ,        66,        68,        99,        78,        54
        0.603 ,        66,        68,        99,        78,        54
        0.608 ,        66,        68,        99,        78,        54
        0.612 ,        66,        68,        99,        78,        54
        0.617 ,        66,        68,        99,        78,        54
        0.621 ,        66,        68,        99,        78,        54
        0.626 ,        66,        69,        99,        78,        54
        0.630 ,        67,        69,        99,        79,        54
        0.635 ,        66,        68,        99,        78,        54
        0.639 ,        66,        68,        99,        78,        54
        0.644 ,        66,        68,        99,        78,        54
        0.648 ,        66,        68,        99,        78,        54
        0.653 ,        66,        68,        99,        78,        54
        0.657 ,        66,        68,        99,        78,        54
        0.662 ,        66,        68,        99,        78,        54
        0.666 ,        66,        69,        99,        78,        54
        0.671 ,        67,        69,        99,        79,        54
        0.675 ,        66,        68,        99,        79,        54
        0.680 ,        66,        68,        99,        78,        54
        0.684 ,        66,        68,        99,        78,        54
        0.689 ,        68,        68,        99,        79,        54
        0.693 ,        68,        68,        99,        78,        54
        0.698 ,        71,        68,        99,        78,        54
        0.702 ,        71,        68,        99,        79,        54
        0.707 ,        71,        68,       100,        79,        55
        0.711 ,        76,        68,       101,        81,        55
        0.716 ,        76,        68,       101,        81,        55
        0.720 ,        81,        68,       101,        84,        55
        0.725 ,        81,        68,       104,        84,        56
        0.729 ,        86,        68,       104,        89,        56
        0.734 ,        86,        68,       107,        89,        57
        0.738 ,        92,        67,       107,        89,        59
        0.743 ,        92,        68,       109,        92,        59
        0.747 ,        92,        68,       109,        93,        61
        0.752 ,       100,        68,       110,        96,        61
        0.756 ,       100,        70,       110,        96,        64
        0.761 ,       107,        70,       110,        97,        64
        0.765 ,       107,        70,       110,        97,        67
        0.770 ,       114,        70,       109,        99,        67
        0.774 ,       114,        71,       110,        99,        67
        0.779 ,       119,        71,       110,        99,        70
        0.783 ,       119,        74,       110,        99,        70
        0.788 ,       126,        74,       110,        99,        72
        0.792 ,       126,        74,       110,       100,        72
        0.797 ,       126,        78,       110,       100,        74
        0.801 ,       132,        78,       110,       100,        74
        0.806 ,       132,        82,       110,       100,        75
        0.810 ,       139,        83,       110,       100,        75
        0.815 ,       139,        86,       110,       100,        77
        0.819 ,       146,        86,       110,       100,        77
        0.824 ,       146,        90,       110,       100,        77
        0.828 ,       153,        90,       110,       100,        78
        0.833 ,       153,        91,       110,       100,        78
        0.837 ,       153,        95,       110,       100,        80
        0.842 ,       162,        95,       110,       100,        80
        0.846 ,       162,        99,       110,       100,        82
        0.851 ,       169,       100,       110,       100,        82
        0.855 ,       169,       102,       110,       100,        83
        0.860 ,       177,       102,       110,       100,        83
        0.864 ,       177,       103,       110,       100,        83
        0.869 ,       184,       103,       110,       100,        82
        0.873 ,       184,       104,       110,       100,        82
        0.878 ,       189,       104,       110,        99,        82
        0.882 ,       189,       104,       110,       100,        82
        0.887 ,       189,       104,       110,       100,        82
        0.891 ,       196,       104,       110,       100,        82
        0.896 ,       196,       106,       110,        99,        82
        0.900 ,       203,       106,       110,       100,        82
        0.905 ,       203,       107,       110,        99,        82
        0.909 ,       210,       107,       110,       100,        82
        0.914 ,       210,       107,       110,        99,        82
        0.918 ,       219,       107,       110,       100,        82
        0.923 ,       219,       108,       110,       100,        82
        0.927 ,       219,       108,       110,       100,        82
        0.932 ,       225,       108,       110,       100,        82
        0.936 ,       225,       109,       110,       100,        83
        0.941 ,       233,       109,       110,        99,        83
        0.945 ,       234,       110,       110,       100,        82
        0.950 ,       240,       110,       110,       100,        82
        0.954 ,       240,       110,       110,       100,        82
        0.959 ,       248,       110,       110,       100,        82
        0.963 ,       247,       111,       110,       100,        83
        0.968 ,       254,       111,       109,       100,        83
        0.972 ,       254,       111,       110,       100,        83
        0.977 ,       254,       112,       110,       100,        83
        0.981 ,       261,       112,       110,       100,        83
        0.986 ,       261,       112,       110,       100,        83
        0.990 ,       268,       112,       110,       100,        83
        0.995 ,       268,       113,       110,       100,        82
        0.999 ,       274,       113,       110,       100,        82
        1.004 ,       274,       113,       110,       100,        82
        1.008 ,       274,       113,       110,       100,        82
        1.013 ,       274,       113,       110,       100,        82
        1.017 ,       274,       113,       110,       100,        82
        1.022 ,       275,       113,       110,        99,        82
        1.026 ,       275,       113,       110,        99,        82
        1.031 ,       275,       114,       110,       100,        82
        1.035 ,       275,       113,       110,       100,        83
        1.040 ,       276,       113,       110,       100,        83
        1.044 ,       276,       113,       110,       100,        83
        1.049 ,       276,       113,       110,       100,        82
        1.053 ,       276,       113,       110,       100,        82
        1.058 ,       277,       113,       110,       100,        82
        1.062 ,       277,       113,       110,        99,        82
        1.067 ,       277,       113,       110,       100,        83
        1.071 ,       278,       113,       110,       100,        83
        1.076 ,       278,       113,       110,       100,        82
        1.080 ,       277,       113,       110,        99,        82
        1.085 ,       277,       114,       110,       100,        82
        1.089 ,       278,       113,       110,       100,        82
        1.094 ,       278,       113,       110,       100,        82
        1.098 ,       279,       113,       110,       100,        82
        1.103 ,       279,       113,       110,       100,        82
        1.107 ,       279,       113,       110,       100,        83
        1.112 ,       278,       113,       110,       100,        83
        1.116 ,       278,       113,       110,       100,        83
        1.121 ,       279,       113,       110,       100,        83
        1.125 ,       279,       113,       110,       100,        82
        1.130 ,       277,       113,       110,       100,        82
        1.134 ,       277,       113,       110,       100,        82
        1.139 ,       279,       113,       110,       100,        82
        1.143 ,       280,       113,       110,       100,        82
        1.148 ,       278,       113,       110,       100,        82
        1.152 ,       277,       113,       110,       100,        82
        1.157 ,       278,       113,       110,       100,        83
        1.161 ,       279,       113,       110,       100,        82
        1.166 ,       279,       113,       110,       100,        82
        1.170 ,       280,       113,       110,        99,        83
        1.175 ,       280,       113,       110,       100,        82
        1.179 ,       280,       113,       110,       100,        82
        1.184 ,       280,       114,       109,       100,        82
        1.188 ,       278,       113,       109,       100,        83
        1.193 ,       278,       113,       110,        99,        83
        1.197 ,       278,       113,       110,       100,        82
        1.202 ,       280,       113,       110,       100,        82
        1.206 ,       280,       113,       110,       100,        82
        1.211 ,       280,       113,       110,        99,        82
        1.215 ,       280,       113,       110,       100,        82
        1.220 ,       281,       113,       110,       100,        82
        1.224 ,       281,       113,       110,       100,        83
        1.229 ,       281,       113,       110,        99,        83
        1.233 ,       281,       113,       110,        99,        82
        1.238 ,       281,       113,       110,        99,        82
        1.242 ,       281,       113,       110,       100,        83
        1.247 ,       281,       113,       110,       100,        82
        1.251 ,       280,       113,       110,       100,        83
        1.256 ,       280,       113,       110,       100,        83
        1.260 ,       280,       113,       110,       100,        83
        1.265 ,       280,       113,       110,        99,        82
        1.269 ,       279,       113,       110,        99,        82
        1.274 ,       279,       113,       110,        99,        82
        1.278 ,       280,       113,       110,       100,        82
        1.283 ,       279,       113,       110,        99,        82
        1.287 ,       279,       113,       110,       100,        82
        1.292 ,       279,       113,       110,        99,        82
        1.296 ,       280,       113,       110,       100,        83
        1.301 ,       281,       114,       110,       100,        83
        1.305 ,       281,       114,       110,       100,        82
        1.310 ,       281,       113,       110,       100,        82
        1.314 ,       281,       113,       110,       100,        82
        1.319 ,       282,       113,       110,        99,        83
        1.323 ,       282,       113,       110,        99,        83
        1.328 ,       281,       113,       110,        99,        83
        1.332 ,       281,       114,       110,       100,        83
        1.337 ,       281,       113,       110,       100,        83
        1.341 ,       280,       113,       110,        99,        83
        1.346 ,       280,       113,       110,        99,        83
        1.350 ,       279,       113,       110,       100,        83
        1.355 ,       279,       113,       110,        99,        83
        1.359 ,       279,       113,       110,       100,        83
        1.364 ,       279,       113,       110,        99,        82
