Oscilloscope Data File
Experiment Time :   16-12-2016 01:36:30
Number of frames: 174489

Module: E-14-140M (1D905555)

Number Of Channels : 10
Input Rate In kHz: 18.181818
Input Time In Sec: 9.596895
Decimation: 100
Number of frames after Decimation: 1744
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  2  
                 ÑÂÄ,       ÑÑÄ,      
        5.275 ,         0,        -0
        5.280 ,         0,         0
        5.286 ,         0,         0
        5.291 ,        -0,         0
        5.297 ,        -1,        -1
        5.302 ,        -2,        -1
        5.308 ,        -2,        -1
        5.313 ,         0,        -1
        5.319 ,        -0,         0
        5.324 ,         0,        -0
        5.330 ,        -1,        -1
        5.335 ,        -1,        -1
        5.341 ,        -1,        -1
        5.346 ,        -2,        -0
        5.352 ,         0,        -0
        5.357 ,         0,        -2
        5.363 ,         0,        -1
        5.368 ,        -0,        -1
        5.374 ,        -1,        -1
        5.379 ,        -0,         1
        5.385 ,        -1,        -1
        5.390 ,         0,        -2
        5.396 ,         1,        -1
        5.401 ,        -0,        -0
        5.407 ,        -1,         0
        5.412 ,        -1,         0
        5.418 ,        -1,        -1
        5.423 ,        -1,        -1
        5.429 ,         0,        -1
        5.434 ,        -0,        -1
        5.440 ,        -0,        -0
        5.445 ,        -1,        -1
        5.451 ,        -1,        -1
        5.456 ,        -0,        -1
        5.462 ,        -2,        -1
        5.467 ,         1,        -0
        5.473 ,         0,        -1
        5.478 ,         0,        -1
        5.484 ,        -0,        -1
        5.489 ,        -1,        -1
        5.495 ,        -1,        -0
        5.500 ,        -2,        -0
        5.506 ,        -0,        -1
        5.511 ,         0,        -1
        5.517 ,         0,        -0
        5.522 ,        -0,        -0
        5.528 ,        -1,        -0
        5.533 ,        -1,        -1
        5.539 ,        -2,        -0
        5.544 ,        -2,        -1
        5.550 ,         0,        -1
        5.555 ,        -0,        -0
        5.561 ,         0,        -0
        5.566 ,        -1,        -1
        5.572 ,        -1,        -1
        5.577 ,        -0,        -1
        5.583 ,        -1,        -1
        5.588 ,         0,        -1
        5.594 ,         0,        -1
        5.599 ,         0,        -0
        5.605 ,        -0,        -1
        5.610 ,        -1,        -1
        5.616 ,        -0,        -1
        5.621 ,        -1,        -1
        5.627 ,        -0,        -0
        5.632 ,         0,         0
        5.638 ,         0,        -0
        5.643 ,        -0,        -0
        5.649 ,        -1,        -0
        5.654 ,        -1,         1
        5.660 ,        -1,         1
        5.665 ,        -2,        -0
        5.671 ,         0,        -1
        5.676 ,        -0,        -0
        5.682 ,        -0,        -1
        5.687 ,        -1,        -1
        5.693 ,        -1,        -1
        5.698 ,        -1,        -1
        5.704 ,        -1,        -1
        5.709 ,         0,        -1
        5.715 ,         0,        -2
        5.720 ,         0,        -1
        5.726 ,        -0,        -1
        5.731 ,        -1,        -1
        5.737 ,        -1,        -0
        5.742 ,        -1,        -1
        5.748 ,        -0,        -1
        5.753 ,         1,        -1
        5.759 ,         0,        -0
        5.764 ,        -0,        -0
        5.770 ,        -1,        -0
        5.775 ,        -1,        -1
        5.781 ,        -2,        -1
        5.786 ,        -2,         0
        5.792 ,         0,         0
        5.797 ,         0,        -0
        5.803 ,         0,        -1
        5.808 ,        -1,        -1
        5.814 ,        -0,        -1
        5.819 ,        -0,         0
        5.825 ,        -1,        -1
        5.830 ,         0,        -1
        5.836 ,         0,        -2
        5.841 ,         0,        -1
        5.847 ,        -0,        -0
        5.852 ,        -1,         0
        5.858 ,        -0,        -0
        5.863 ,        -1,        -0
        5.869 ,         0,        -1
        5.874 ,         0,        -1
        5.880 ,         0,        -0
        5.885 ,        -0,        -0
        5.891 ,        -1,        -0
        5.896 ,        -1,        -1
        5.902 ,        -1,        -1
        5.907 ,        -2,        -0
        5.913 ,         0,        -0
        5.918 ,        -0,        -0
        5.924 ,        -0,        -0
        5.929 ,        -1,        -1
        5.935 ,        -1,        -1
        5.940 ,        -1,        -1
        5.946 ,        -3,        -0
        5.951 ,         0,        -0
        5.957 ,         0,        -0
        5.962 ,        -0,        -1
        5.968 ,        -1,        -0
        5.973 ,        -1,        -0
        5.979 ,        -1,        -0
        5.984 ,        -2,        -1
        5.990 ,         0,        -1
        5.995 ,         0,        -2
        6.001 ,         0,        -1
        6.006 ,        -0,        -1
        6.012 ,        -1,        -1
        6.017 ,        -0,        -0
        6.023 ,        -1,        -1
        6.028 ,         0,        -1
        6.034 ,         0,        -1
        6.039 ,         0,        -0
        6.045 ,        -0,        -0
        6.050 ,        -1,        -0
        6.056 ,        -1,        -1
        6.061 ,        -2,        -1
        6.067 ,        -2,        -1
        6.072 ,         0,        -1
        6.078 ,        -0,        -1
        6.083 ,        -0,        -0
        6.089 ,        -1,        -1
        6.094 ,        -1,        -0
        6.100 ,        -1,         0
        6.105 ,        -2,        -1
        6.111 ,         0,        -1
        6.116 ,         0,        -1
        6.122 ,        -0,        -1
        6.127 ,        -0,        -1
        6.133 ,        -1,        -0
        6.138 ,        -1,        -1
        6.144 ,        -2,        -0
        6.149 ,         0,        -1
        6.155 ,        -0,        -1
        6.160 ,         0,        -1
        6.166 ,        -0,        -0
        6.171 ,        -1,        -0
        6.177 ,        -1,        -0
        6.182 ,        -1,        -1
        6.188 ,        -1,        -1
        6.193 ,         0,        -1
        6.199 ,        -0,        -0
        6.204 ,        -0,        -0
        6.210 ,        -1,        -1
        6.215 ,        -1,        -1
        6.221 ,        -1,        -0
        6.226 ,        -1,        -1
        6.232 ,        -1,        -1
        6.237 ,         0,        -1
        6.243 ,         0,        -1
        6.248 ,         0,        -0
        6.254 ,        -0,        -1
        6.259 ,        -1,        -0
        6.265 ,        -0,        -1
        6.270 ,        -1,        -1
        6.276 ,         0,        -1
        6.281 ,         0,        -1
        6.287 ,         0,        -0
        6.292 ,        -0,        -0
        6.298 ,        -1,        -0
        6.303 ,        -1,        -1
        6.309 ,        -1,        -1
        6.314 ,        -2,        -0
        6.320 ,         0,        -1
        6.325 ,        -0,        -0
        6.331 ,        -0,        -0
        6.336 ,        -1,        -1
        6.342 ,        -1,        -1
        6.347 ,        -0,        -1
        6.353 ,        -2,        -1
        6.358 ,         0,        -1
        6.364 ,        -0,        -1
        6.369 ,        -0,        -1
        6.375 ,        -0,        -0
        6.380 ,        -1,         0
        6.386 ,        -1,        -0
        6.391 ,        -2,        -0
        6.397 ,         0,        -1
        6.402 ,         0,        -1
        6.408 ,         0,        -1
        6.413 ,        -0,        -0
        6.419 ,        -1,        -0
        6.424 ,        -1,        -0
        6.430 ,        -1,        -1
        6.435 ,        -1,        -1
        6.441 ,         0,        -1
        6.446 ,         0,        -1
        6.452 ,        -0,        -0
        6.457 ,        -1,        -1
        6.463 ,        -1,        -1
        6.468 ,        -1,        -1
        6.474 ,        -2,        -1
        6.479 ,         0,        -0
        6.485 ,         0,        -1
        6.490 ,        -0,        -1
        6.496 ,        -0,        -1
        6.501 ,        -1,        -1
        6.507 ,        -1,        -0
        6.512 ,        -2,        -0
        6.518 ,         0,        -1
        6.523 ,         0,        -1
        6.529 ,         0,        -0
        6.534 ,        -0,        -1
        6.540 ,        -1,        -0
        6.545 ,        -0,        -0
        6.551 ,        -1,        -1
        6.556 ,        -1,        -1
        6.562 ,         0,        -1
        6.567 ,        -0,        -0
        6.573 ,        -0,        -0
        6.578 ,        -1,        -0
        6.584 ,        -1,        -1
        6.589 ,        -1,        -1
        6.595 ,        -3,        -0
        6.600 ,         0,        -0
        6.606 ,         0,        -0
        6.611 ,         0,        -1
        6.617 ,        -1,        -1
        6.622 ,        -1,        -1
        6.628 ,        -1,        -0
        6.633 ,        -2,        -0
        6.639 ,         0,        -1
        6.644 ,         0,        -1
        6.650 ,         0,        -1
        6.655 ,        -0,        -1
        6.661 ,        -1,        -1
        6.666 ,        -0,        -0
        6.672 ,        -1,        -1
        6.677 ,        -1,        -1
        6.683 ,         0,        -1
        6.688 ,        -0,        -1
        6.694 ,        -0,        -0
        6.699 ,        -1,        -1
        6.705 ,        -1,        -1
        6.710 ,        -1,        -1
        6.716 ,        -2,        -0
        6.721 ,         0,        -0
        6.727 ,         0,        -0
        6.732 ,        -0,        -1
        6.738 ,        -0,        -1
        6.743 ,        -1,        -0
        6.749 ,        -1,        -1
        6.754 ,        -2,        -0
        6.760 ,         0,        -1
        6.765 ,         0,        -1
        6.771 ,         0,        -1
        6.776 ,        -0,        -0
        6.782 ,        -1,        -0
        6.787 ,        -1,        -0
        6.793 ,        -1,        -1
        6.798 ,        -1,        -1
        6.804 ,         0,        -1
        6.809 ,        -0,        -1
        6.815 ,        -0,        -0
        6.820 ,        -1,        -1
        6.826 ,        -1,        -1
        6.831 ,        -0,        -1
        6.837 ,        -2,        -0
        6.842 ,         0,        -1
        6.848 ,         0,        -1
        6.853 ,        -0,        -1
        6.859 ,        -0,        -1
        6.864 ,        -1,        -0
        6.870 ,        -1,        -1
        6.875 ,        -2,        -0
        6.881 ,         0,        -1
        6.886 ,         0,        -1
        6.892 ,         0,        -1
        6.897 ,        -0,        -0
        6.903 ,        -1,        -1
        6.908 ,        -0,        -0
        6.914 ,        -1,        -1
        6.919 ,        -0,        -1
        6.925 ,         1,        -1
        6.930 ,        -0,        -1
        6.936 ,        -0,        -0
        6.941 ,        -1,        -0
        6.947 ,        -1,        -1
        6.952 ,        -1,        -1
        6.958 ,        -3,        -0
        6.963 ,         0,        -1
        6.969 ,         0,        -0
        6.974 ,        -0,        -1
        6.980 ,        -1,        -1
        6.985 ,        -0,        -1
        6.991 ,        -0,        -1
        6.996 ,        -1,        -1
        7.002 ,         0,        -1
        7.007 ,         0,        -1
        7.013 ,         0,        -1
        7.018 ,        -0,        -1
        7.024 ,        -1,        -0
        7.029 ,        -1,        -1
        7.035 ,        -2,        -0
        7.040 ,         0,        -1
        7.046 ,         0,        -1
        7.051 ,         0,        -0
        7.057 ,        -0,        -0
        7.062 ,        -1,        -0
        7.068 ,        -1,        -0
        7.073 ,        -1,        -1
        7.079 ,        -0,        -1
        7.084 ,         0,        -1
        7.090 ,        -0,        -0
        7.095 ,        -0,        -0
        7.101 ,        -1,        -1
        7.106 ,        -1,        -1
        7.112 ,        -1,        -1
        7.117 ,        -2,        -0
        7.123 ,         0,        -0
        7.128 ,         0,        -0
        7.134 ,        -0,        -1
        7.139 ,        -1,        -1
        7.145 ,        -1,        -0
        7.150 ,        -1,        -1
        7.156 ,        -2,        -0
        7.161 ,         0,        -1
        7.167 ,        -0,        -1
        7.172 ,         0,        -0
        7.178 ,        -0,        -0
        7.183 ,        -1,        -0
        7.189 ,        -1,        -0
        7.194 ,        -1,        -1
        7.200 ,        -1,        -1
        7.205 ,         0,        -1
        7.211 ,         0,        -0
        7.216 ,        -0,        -0
        7.222 ,        -1,        -1
        7.227 ,        -1,        -1
        7.233 ,        -0,        -1
        7.238 ,        -2,        -1
        7.244 ,         0,        -1
        7.249 ,         0,        -1
        7.255 ,        -0,        -1
        7.260 ,        -0,        -1
        7.266 ,        -1,        -0
        7.271 ,        -1,        -1
        7.277 ,        -2,        -0
        7.282 ,         0,        -1
        7.288 ,         0,        -1
        7.293 ,         0,        -1
        7.299 ,        -0,        -1
        7.304 ,        -1,        -0
        7.310 ,        -1,        -0
        7.315 ,        -1,        -1
        7.321 ,        -0,        -1
        7.326 ,         0,        -1
        7.332 ,         0,        -0
        7.337 ,         0,        -0
        7.343 ,        -1,        -0
        7.348 ,        -1,        -1
        7.354 ,        -1,        -1
        7.359 ,        -2,        -0
        7.365 ,         0,        -1
        7.370 ,        -0,        -0
        7.376 ,        -0,        -0
        7.381 ,        -1,        -1
        7.387 ,        -1,        -1
        7.392 ,        -0,        -1
        7.398 ,        -1,        -1
        7.403 ,         1,        -0
        7.409 ,         0,        -1
        7.414 ,        -0,        -1
        7.420 ,        -0,        -1
        7.425 ,        -1,        -0
        7.431 ,        -1,        -1
        7.436 ,        -2,        -0
        7.442 ,         0,        -1
        7.447 ,        -0,        -1
        7.453 ,         0,        -1
        7.458 ,        -0,        -1
        7.464 ,        -1,        -0
        7.469 ,        -0,        -0
        7.475 ,        -1,        -1
        7.480 ,        -0,        -1
        7.486 ,         1,        -1
        7.491 ,         0,        -0
        7.497 ,        -0,        -0
        7.502 ,        -1,        -0
        7.508 ,        -1,        -1
        7.513 ,        -1,        -1
        7.519 ,        -2,        -1
        7.524 ,         0,        -1
        7.530 ,        -0,        -0
        7.535 ,        -0,        -0
        7.541 ,        -1,        -1
        7.546 ,        -1,        -1
        7.552 ,        -0,        -1
        7.557 ,        -1,        -1
        7.563 ,         0,        -1
        7.568 ,         0,        -1
        7.574 ,        -0,        -1
        7.579 ,        -0,        -1
        7.585 ,        -1,        -0
        7.590 ,        -1,        -1
        7.596 ,        -2,        -0
        7.601 ,         0,        -1
        7.607 ,         0,        -1
        7.612 ,         0,        -1
        7.618 ,        -0,        -0
        7.623 ,        -1,        -0
        7.629 ,        -0,        -0
        7.634 ,        -1,        -1
        7.640 ,         0,        -1
        7.645 ,         1,        -0
        7.651 ,         0,        -0
        7.656 ,        -0,        -0
        7.662 ,        -1,        -0
        7.667 ,        -1,        -1
        7.673 ,        -1,        -1
        7.678 ,        -3,        -0
        7.684 ,         0,        -1
        7.689 ,        -0,        -0
        7.695 ,        -0,        -1
        7.700 ,        -1,        -1
        7.706 ,        -1,        -1
        7.711 ,        -0,        -1
        7.717 ,        -1,        -1
        7.722 ,         0,        -1
        7.728 ,         0,        -1
        7.733 ,         0,        -1
        7.739 ,         0,        -1
        7.744 ,        -0,        -0
        7.750 ,        -1,        -1
        7.755 ,        -0,        -0
        7.761 ,        -1,        -1
        7.766 ,        -0,        -1
        7.772 ,         0,        -1
        7.777 ,         0,        -1
        7.783 ,        -0,        -0
        7.788 ,        -1,        -1
        7.794 ,        -1,        -1
        7.799 ,        -1,        -1
        7.805 ,        -2,        -1
        7.810 ,         0,        -1
        7.816 ,         0,        -0
        7.821 ,        -0,        -1
        7.827 ,        -1,        -1
        7.832 ,        -1,        -1
        7.838 ,        -1,        -1
        7.843 ,        -1,        -1
        7.849 ,         0,        -1
        7.854 ,         0,        -2
        7.860 ,         0,        -1
        7.865 ,        -0,        -1
        7.871 ,        -1,        -1
        7.876 ,        -0,        -0
        7.882 ,        -1,        -1
        7.887 ,         0,        -1
        7.893 ,         0,        -1
        7.898 ,         0,        -0
        7.904 ,        -0,        -0
        7.909 ,        -1,        -0
        7.915 ,        -1,        -1
        7.920 ,        -1,        -1
        7.926 ,        -2,        -0
        7.931 ,         0,        -1
        7.937 ,        -0,        -0
        7.942 ,        -0,        -0
        7.948 ,        -1,        -1
        7.953 ,        -1,        -1
        7.959 ,        -1,        -1
        7.964 ,        -2,        -1
        7.970 ,         0,        -1
        7.975 ,         0,        -2
        7.981 ,         0,        -1
        7.986 ,        -0,        -1
        7.992 ,        -1,        -1
        7.997 ,        -1,        -0
        8.003 ,        -1,        -1
        8.008 ,        -0,        -1
        8.014 ,         0,        -0
        8.019 ,         0,        -0
        8.025 ,        -0,        -0
        8.030 ,        -1,        -0
        8.036 ,        -1,        -1
        8.041 ,        -2,        -1
        8.047 ,        -2,        -1
        8.052 ,         0,        -1
        8.058 ,        -0,        -0
        8.063 ,         0,        -0
        8.069 ,        -1,        -1
        8.074 ,        -1,        -1
        8.080 ,        -0,        -1
        8.085 ,        -1,        -1
        8.091 ,         0,        -0
        8.096 ,         0,        -1
        8.102 ,        -0,        -1
        8.107 ,        -0,        -1
        8.113 ,        -1,        -1
        8.118 ,        -1,        -1
        8.124 ,        -2,        -0
        8.129 ,         0,        -1
        8.135 ,         0,        -1
        8.140 ,         0,        -1
        8.146 ,        -0,        -1
        8.151 ,        -1,        -0
        8.157 ,        -0,        -0
        8.162 ,        -1,        -1
        8.168 ,        -0,        -1
        8.173 ,         0,        -1
        8.179 ,         0,        -0
        8.184 ,        -0,        -0
        8.190 ,        -1,         0
        8.195 ,        -1,        -1
        8.201 ,        -2,        -1
        8.206 ,        -2,        -1
        8.212 ,         0,        -1
        8.217 ,        -0,        -0
        8.223 ,        -0,        -0
        8.228 ,        -1,        -1
        8.234 ,        -1,        -1
        8.239 ,        -1,        -1
        8.245 ,        -2,        -0
        8.250 ,         0,        -1
        8.256 ,         0,        -0
        8.261 ,        -0,        -1
        8.267 ,        -1,        -1
        8.272 ,        -1,        -1
        8.278 ,        -1,        -0
        8.283 ,        -1,        -0
        8.289 ,         0,        -1
        8.294 ,        -0,        -1
        8.300 ,        -0,        -1
        8.305 ,        -0,        -1
        8.311 ,        -1,        -1
        8.316 ,        -1,        -0
        8.322 ,        -2,        -0
        8.327 ,         0,        -1
        8.333 ,         0,        -1
        8.338 ,         0,        -1
        8.344 ,        -0,        -0
        8.349 ,        -1,        -0
        8.355 ,        -0,        -0
        8.360 ,        -1,        -1
        8.366 ,        -0,        -1
        8.371 ,         0,        -1
        8.377 ,         0,        -1
        8.382 ,        -0,        -0
        8.388 ,        -1,        -0
        8.393 ,        -1,        -1
        8.399 ,        -1,        -1
        8.404 ,        -2,        -0
        8.410 ,         0,        -1
        8.415 ,        -0,        -0
        8.421 ,        -0,        -1
        8.426 ,        -1,        -1
        8.432 ,        -1,        -1
        8.437 ,        -1,        -1
        8.443 ,        -2,        -1
        8.448 ,         0,        -0
        8.454 ,         0,        -1
        8.459 ,        -0,        -1
        8.465 ,        -0,        -1
        8.470 ,        -1,        -0
        8.476 ,        -1,        -0
        8.481 ,        -2,        -0
        8.487 ,         0,        -1
        8.492 ,        -0,        -2
        8.498 ,         0,        -0
        8.503 ,        -0,        -1
        8.509 ,        -1,        -0
        8.514 ,        -1,        -0
        8.520 ,        -1,        -1
        8.525 ,        -1,        -1
        8.531 ,         0,        -1
        8.536 ,        -0,        -0
        8.542 ,        -0,        -0
        8.547 ,        -1,        -0
        8.553 ,        -1,        -1
        8.558 ,        -1,        -1
        8.564 ,        -2,        -1
        8.569 ,         0,        -1
        8.575 ,         0,        -0
        8.580 ,         0,        -1
        8.586 ,        -1,        -1
        8.591 ,        -1,        -1
        8.597 ,        -1,        -0
        8.602 ,        -1,        -0
        8.608 ,         0,        -1
        8.613 ,         0,        -2
        8.619 ,         0,        -0
        8.624 ,        -0,        -1
        8.630 ,        -1,        -0
        8.635 ,        -0,        -0
        8.641 ,        -1,        -1
        8.646 ,         0,        -1
        8.652 ,         0,        -1
        8.657 ,         0,        -0
        8.663 ,        -0,        -0
        8.668 ,        -1,        -0
        8.674 ,        -1,        -1
        8.679 ,        -2,        -1
        8.685 ,        -2,        -1
        8.690 ,         0,        -1
        8.696 ,        -0,        -0
        8.701 ,        -0,        -0
        8.707 ,        -1,        -1
        8.712 ,        -1,        -1
        8.718 ,        -1,        -1
        8.723 ,        -2,        -1
        8.729 ,         0,        -0
        8.734 ,         0,        -1
        8.740 ,         0,        -1
        8.745 ,        -0,        -1
        8.751 ,        -1,        -1
        8.756 ,        -1,        -1
        8.762 ,        -2,        -0
        8.767 ,         0,        -1
        8.773 ,         0,        -1
        8.778 ,         0,        -0
        8.784 ,        -0,        -1
        8.789 ,        -1,        -0
        8.795 ,        -1,        -1
        8.800 ,        -1,        -1
        8.806 ,        -1,        -1
        8.811 ,         0,        -1
        8.817 ,         0,        -1
        8.822 ,        -0,        -0
        8.828 ,        -1,        -1
        8.833 ,        -1,        -1
        8.839 ,        -0,        -1
        8.844 ,        -2,        -1
        8.850 ,         0,        -0
        8.855 ,         0,        -1
        8.861 ,        -0,        -1
        8.866 ,        -0,        -1
        8.872 ,        -1,        -0
        8.877 ,        -1,        -1
        8.883 ,        -2,        -0
        8.888 ,         0,        -1
        8.894 ,         0,        -1
        8.899 ,         0,        -0
        8.905 ,        -0,        -0
        8.910 ,        -1,        -0
        8.916 ,        -1,        -0
        8.921 ,        -1,        -1
        8.927 ,        -0,        -1
        8.932 ,         0,        -1
        8.938 ,        -0,        -0
        8.943 ,        -0,         0
        8.949 ,        -1,        -1
        8.954 ,        -1,        -1
        8.960 ,        -1,        -1
        8.965 ,        -2,        -1
        8.971 ,         0,        -1
        8.976 ,        -0,        -1
        8.982 ,        -0,        -1
        8.987 ,        -0,        -1
        8.993 ,        -1,        -0
        8.998 ,        -1,        -1
        9.004 ,        -2,        -0
        9.009 ,         0,        -1
        9.015 ,         0,        -1
        9.020 ,         0,        -0
        9.026 ,        -0,        -0
        9.031 ,        -1,        -0
        9.037 ,        -1,        -1
        9.042 ,        -1,        -1
        9.048 ,        -2,        -1
        9.053 ,         0,        -1
        9.059 ,         0,        -0
        9.064 ,         0,        -0
        9.070 ,        -1,        -1
        9.075 ,        -1,        -1
        9.081 ,        -0,        -1
        9.086 ,        -1,        -1
        9.092 ,         0,        -1
        9.097 ,         0,        -2
        9.103 ,         0,        -1
        9.108 ,        -0,        -1
        9.114 ,        -1,        -0
        9.119 ,        -1,        -0
        9.125 ,        -1,        -1
        9.130 ,         0,        -1
        9.136 ,         1,        -1
        9.141 ,         0,        -0
        9.147 ,        -0,        -0
        9.152 ,        -1,        -0
        9.158 ,        -1,        -1
        9.163 ,        -1,        -0
        9.169 ,        -3,        -0
        9.174 ,         0,        -1
        9.180 ,         0,        -0
        9.185 ,        -0,        -1
        9.191 ,        -1,        -1
        9.196 ,        -1,        -1
        9.202 ,        -1,        -1
        9.207 ,        -2,        -1
        9.213 ,         0,        -1
        9.218 ,        -0,        -1
        9.224 ,         0,        -0
        9.229 ,        -0,        -1
        9.235 ,        -1,        -1
        9.240 ,        -0,        -0
        9.246 ,        -1,        -1
        9.251 ,        -0,        -1
        9.257 ,         0,        -1
        9.262 ,         0,        -1
        9.268 ,        -0,        -0
        9.273 ,        -1,        -1
        9.279 ,        -1,        -1
        9.284 ,        -0,        -1
        9.290 ,        -2,        -1
        9.295 ,         0,        -1
        9.301 ,         0,        -1
        9.306 ,         0,        -1
        9.312 ,        -0,        -0
        9.317 ,        -1,        -0
        9.323 ,        -1,        -1
        9.328 ,        -2,        -0
        9.334 ,         0,        -1
        9.339 ,         0,        -1
        9.345 ,         1,        -0
        9.350 ,        -0,        -0
        9.356 ,        -1,        -0
        9.361 ,        -1,        -1
        9.367 ,        -2,        -1
        9.372 ,        -2,        -1
        9.378 ,         0,        -1
        9.383 ,        -0,        -0
        9.389 ,        -0,        -0
        9.394 ,        -1,        -1
        9.400 ,        -1,        -1
        9.405 ,        -1,        -1
        9.411 ,        -1,        -1
        9.416 ,         0,        -1
        9.422 ,         0,        -1
        9.427 ,         0,        -1
        9.433 ,        -0,        -1
        9.438 ,        -1,        -0
        9.444 ,        -0,        -0
        9.449 ,        -1,        -1
        9.455 ,        -0,        -1
        9.460 ,         1,        -1
        9.466 ,         0,        -0
        9.471 ,        -0,        -0
        9.477 ,        -1,        -0
        9.482 ,        -1,        -1
        9.488 ,        -2,        -1
        9.493 ,        -2,        -1
        9.499 ,         0,        -1
        9.504 ,         0,        -0
        9.510 ,        -0,        -1
        9.515 ,        -1,        -1
        9.521 ,        -1,        -1
        9.526 ,        -1,        -0
        9.532 ,        -2,        -1
        9.537 ,         0,        -1
        9.543 ,         0,        -2
        9.548 ,         0,        -1
        9.554 ,        -0,        -1
        9.559 ,        -1,        -0
        9.565 ,        -0,        -0
        9.570 ,        -1,        -1
        9.576 ,         0,        -1
        9.581 ,         0,        -1
        9.587 ,         0,        -0
        9.592 ,        -0,        -0
